Student_ID,Subject,Assignment_Name,Due_Date,Status,Grade_Feedback,Guardian_Signature
S04555,English,Skill certainly task.,2025-01-31, Done ,A, 
S05138,History,Certainly world perhaps.,2025-01-20,not done,C-,No
S09536,English,His long stay action.,02/02/2025,✔,D, 
S04734,English,Smile seven.,2024-11-26,✅,F,Yes
S09624,History,Mrs ever fight.,2025-02-23, Done ,D,No
S08816,History,Accept need.,2025-02-21,❌,C,Yes
S08185,Science,Service so.,2024-09-28,✔,B, 
S09909,English,Reality coach still.,2024-11-24,not done,C,No
S11466,Science,Number.,2025-03-08,✅,B-,No
S07383,Math,To point mouth.,01/21/2025,❌,C,No
S07304,Math,Girl pressure.,2025-02-10,✔,A+,No
S08104,English,Brother rest paper.,2025-01-04,❌,B-, 
S02836,English,Democrat none.,2024-10-07,pending,B,Yes
S01046,Arabic,Director theory new.,10/06/2024,✅,B, 
S00290,Arabic,Offer back race.,2024-10-06,✅,C-,No
S06630,English,Manage authority style.,2024-09-22,not done,A, 
S03709,Science,Decade pick fact.,2024-12-28,✅,A+,Yes
S01601,Math,Third green central.,2024-11-01,✅,A, 
S01995,English,Without table.,12/02/2024,✅,B,No
S11484,Math,Fill little walk.,2024-09-17, Done ,C, 
S03838,Arabic,Its home mother note.,11/21/2024,✅,D,Yes
S08815,English,Air keep.,2024-11-06,pending,B,Yes
S11615,History,Mind modern animal.,2025-01-08,✅,F, 
S03231,History,Firm appear firm.,2025-02-18,❌,C-, 
S10173,English,Usually science.,2025-01-20,pending,A+,No
S04939,English,Degree large.,2025-01-02,✅,B,Yes
S09977,Geography,Project.,2025-01-24,✔,C-,Yes
S00986,English,Building me.,2025-03-03, Done ,B-,No
S01547,Arabic,Note carry produce.,2024-11-24,✔,D,Yes
S05251,Science,Assume early hold student.,2024-11-10,not done,A+,No
S09656,Geography,Common market.,2025-01-04,❌,A+, 
S06108,Science,Forward up.,2025-01-01,not done,A,Yes
S08033,Arabic,Such fact home.,2024-12-23,not done,A+,Yes
S11599,English,Itself rock.,2024-12-12,✔,B,No
S07747,English,Marriage ask because market.,12/12/2024,❌,C,No
S11191,Geography,Power across.,2024-10-12,✅,B-,No
S00712,English,Fact coach week.,2024-10-11,pending,C-, 
S00230,Math,Glass coach.,2025-01-30,pending,F,No
S11118,English,Understand feel thus.,2025-03-04,pending,F, 
S03281,English,Wife visit of.,12/28/2024,✅,A+,No
S02697,History,Herself community.,2025-03-09,not done,A,No
S05796,Math,See decide so.,2025-01-26,pending,A+,No
S06682,Geography,Travel list.,2024-10-16,✅,D,Yes
S10857,Science,Show single part.,2024-09-15,❌,A, 
S03736,History,Miss.,2025-01-30,✅,D,No
S08762,Arabic,Herself option agree mother.,2024-12-13,❌,C,No
S02699,Math,Answer send.,2024-09-25,✅,A+,Yes
S11689,Science,Cut entire wear.,2024-11-29,not done,B, 
S00930,Arabic,Single same far mission.,2024-09-16, Done ,C,No
S05750,Geography,Future impact really.,2024-12-29,✔,A+,No
S08725,Science,Way officer.,2025-01-06,pending,B,Yes
S05506,English,Show represent own.,2024-11-18,pending,C-,No
S08009,Arabic,Million miss.,2024-11-19,not done,F,Yes
S09409,Arabic,Meet marriage us.,2024-12-09,✔,D,No
S05536,History,Good true near war.,2024-10-10, Done ,B-,No
S10522,Geography,Can idea.,01/31/2025, Done ,B, 
S00952,History,Them also author.,2024-12-24,❌,B-, 
S09145,Science,Force fact.,2024-10-13,✅,A+,Yes
S00171,History,Attorney century.,2025-02-27,pending,C,Yes
S01193,Arabic,Free over rule.,12/26/2024,not done,B, 
S11567,Geography,When carry.,2025-02-19,not done,B-,Yes
S07583,Science,Teach stand food.,2025-01-16,✔,A, 
S02886,English,Member our.,2025-01-18,✅,A, 
S00547,Science,Response out.,2024-12-04,pending,B,No
S08280,Arabic,Guess common huge.,2024-12-02,pending,A, 
S01820,Science,Until them.,2025-01-11,pending,C-,No
S08205,Geography,Brother husband.,2024-10-05, Done ,A+, 
S09061,Math,Say window.,2025-02-14,not done,B-, 
S03487,Math,Cold certain adult.,2024-11-12,✔,A+,Yes
S10199,Science,History player pick.,2024-11-18, Done ,D,Yes
S04175,History,Yes use begin.,09/08/2024,pending,B,No
S02003,English,Statement happen summer.,2024-10-14,✅,C,No
S07791,History,Whom assume television.,11/28/2024, Done ,A+, 
S01262,Arabic,Help good.,2024-11-17,✅,B, 
S11158,Geography,Piece traditional.,2025-02-07, Done ,A+,No
S04532,Science,Family Congress easy.,02/23/2025,not done,B-,No
S07445,Math,Win for.,2025-02-26,✔,A+,Yes
S05831,Arabic,Little foreign front.,2025-03-06, Done ,B-,No
S11181,Arabic,Fall region.,2025-02-16,✅,A+,No
S03361,Science,At into.,2024-11-02,❌,D,Yes
S04271,English,Speak ability central.,2025-02-02, Done ,A+,No
S03861,History,Record.,03/06/2025, Done ,A, 
S10597,Geography,Expect join himself on.,10/11/2024,not done,B, 
S09878,Arabic,Any.,2025-01-16,❌,A+,Yes
S12020,History,Charge least.,2024-12-23,not done,B-, 
S08175,History,Realize total.,2024-12-02, Done ,A+,Yes
S09125,History,Behind near.,2025-01-13,❌,F, 
S06591,Science,Resource tax their.,2024-10-05,pending,A+, 
S03229,History,Truth face black.,2024-11-29,✔,C-, 
S09165,History,Decision move.,11/21/2024,pending,C-,Yes
S09959,Geography,Nearly very home.,2025-01-05,✅,D,Yes
S09318,Science,Term scientist serious.,09/11/2024,❌,C-,Yes
S10300,Arabic,Stuff.,2024-12-31,not done,C-,Yes
S10231,History,Word stage seat.,02/24/2025,❌,B,Yes
S10308,Math,Field safe former debate.,2024-10-19,not done,B,No
S11308,English,Field degree.,2024-12-01,not done,F, 
S05018,Arabic,Air fact general.,02/24/2025,pending,B,No
S11166,Science,And call.,2024-11-15,pending,B-, 
S00812,Arabic,Surface.,2025-01-01,pending,B,No
S11170,Geography,Put kitchen.,2025-01-05,✅,B-,Yes
S00903,Math,Area role.,2025-01-05,❌,A+,Yes
S07346,Science,Who hit down.,2024-09-19,✔,D,No
S04362,Science,Or player.,10/14/2024,❌,A+,No
S07240,Science,Member head never.,2024-12-15,not done,A+,No
S02967,Science,Price win present.,2024-09-08, Done ,D, 
S02428,Geography,Case.,10/18/2024,✅,C-,Yes
S06324,English,Nation report.,2024-10-25,not done,B,Yes
S02510,Geography,Rise me finish.,2024-10-24,pending,B-, 
S00564,Arabic,Discuss admit.,2024-12-12,❌,A,Yes
S00222,English,Interest top.,2024-11-08, Done ,A,Yes
S05117,Geography,Heart political ahead.,2025-01-20, Done ,C,Yes
S03206,Science,Stock reason.,2025-01-30,✔,D, 
S04894,Science,Bad discuss.,02/22/2025,✅,C, 
S02576,Science,Able Mrs model.,2025-01-08,✔,A+,Yes
S09085,Geography,Protect house anything others.,2025-01-30,✅,A+,No
S02153,Science,Behavior similar show light.,2024-12-14,❌,B-,No
S03294,Geography,Decision group gas.,2025-01-10, Done ,B-,Yes
S11200,Arabic,Science.,2024-12-15,✔,F, 
S04048,Arabic,Less car decide.,10/13/2024,not done,C,Yes
S11698,Math,Oil enter.,2024-11-04, Done ,A+, 
S10587,History,Play above.,10/19/2024,not done,B-,No
S06793,English,Also three skill.,2024-09-20, Done ,F,No
S06351,English,Various do team.,2024-10-16,pending,D, 
S03902,Science,Newspaper old.,2025-01-05,❌,F,No
S02779,History,Entire TV.,2025-02-26,✔,B-,Yes
S09816,History,Others quickly.,2025-02-20,✔,F, 
S10873,Science,Hair offer brother.,2025-01-18,❌,D, 
S05449,Math,Door.,10/26/2024,✔,B, 
S10018,Arabic,All meet.,2024-12-10,✔,B-,Yes
S07481,English,Affect.,2025-02-15,✔,D, 
S04581,Arabic,Live success.,2024-09-26,✔,A+, 
S02238,Geography,Rise medical structure.,2024-12-10,✅,D, 
S09131,Math,Music hope.,2024-12-18,✔,C-, 
S00072,Geography,Shake throughout.,11/09/2024, Done ,C, 
S09293,English,Case plant.,2024-09-08, Done ,B,No
S11057,English,Office young bank whom.,12/20/2024,✅,C,Yes
S05299,Geography,Particular knowledge already.,02/27/2025,✅,D,Yes
S02727,Math,Send day without.,2024-11-14, Done ,B,Yes
S10432,History,Two fine.,02/07/2025,✔,A+, 
S07178,History,Name mission reach night.,2024-10-25, Done ,D, 
S04260,Geography,Market much.,2024-09-15,❌,C,No
S07751,English,Watch late reveal mouth.,2024-10-17,✔,A,No
S07686,History,Five most.,2024-12-12, Done ,A, 
S05883,Math,Window daughter.,12/14/2024,✔,B-,No
S08558,Science,Quite determine.,2025-02-09,✅,C,No
S07397,Arabic,Really house.,2024-11-30,❌,F,No
S06471,Arabic,Good along.,2025-02-21,❌,D, 
S08852,Geography,Myself move.,2024-09-15,❌,C-,No
S10263,Math,Staff now grow.,11/25/2024,❌,A, 
S05730,Math,Put woman.,12/02/2024,✔,C,Yes
S02221,Geography,Country learn.,2024-11-03, Done ,F,No
S09452,Science,Cell.,2024-12-31,✅,F,Yes
S06760,Arabic,Federal.,02/20/2025,✅,B-,Yes
S11354,English,Decide century almost.,2025-01-24,✔,F,Yes
S08695,Geography,Cut include couple.,2025-01-24,✔,C,Yes
S05931,History,Already school.,2025-01-16,pending,C-, 
S07480,History,To around.,12/25/2024,✔,A,No
S03783,Arabic,Themselves over national.,2024-10-23,✅,A,Yes
S01869,Geography,Wind everyone.,2025-01-22,❌,C-, 
S04403,Math,Focus figure.,2024-10-11, Done ,F, 
S10265,Math,Drive every.,2024-12-24,✔,A+,No
S10676,Geography,Perform woman seat.,2024-12-02,pending,B-,No
S02931,English,Ball board.,01/10/2025, Done ,D, 
S01616,Math,While share impact.,2024-10-01,✅,C,No
S11761,English,On beyond.,2024-12-24,not done,C-,Yes
S01338,History,Wife real matter.,2025-01-22, Done ,B-,Yes
S05220,Arabic,Resource nation soldier.,2025-02-15,not done,A+,Yes
S01949,Geography,Produce physical.,2024-09-13,❌,F,Yes
S02936,Science,Million site.,2024-10-17, Done ,B-, 
S04678,History,Week during.,2024-12-02,not done,F,Yes
S02485,Geography,Coach you treat white.,2025-02-09,✔,B,Yes
S04696,Geography,Option common.,2025-01-01,✔,A, 
S10441,Science,Carry same law.,2024-09-24,❌,A+,Yes
S06494,History,Four eat image.,2025-02-09,not done,B,Yes
S06169,Science,Car indicate.,2025-02-26,pending,C,Yes
S01730,Arabic,Project fall.,2025-02-06,✅,A,Yes
S07481,Science,Natural plan.,2024-11-22,✅,C, 
S07715,History,Foreign leader various especially.,12/14/2024,✅,F, 
S00493,English,I tell.,2024-12-08,pending,C, 
S02902,English,Dream chair.,2024-12-31,pending,A+,Yes
S06472,Math,Model himself environment most.,2024-12-24,✔,B-, 
S11846,Math,Until arrive growth.,09/12/2024,pending,B-,No
S08832,Science,Design onto letter.,10/14/2024,✔,A+,Yes
S07964,Geography,Your call.,12/08/2024,❌,F,Yes
S09077,Math,Prepare must perform.,2025-02-08,pending,A+,Yes
S01018,History,Record year carry.,2024-10-05,pending,D,No
S07659,History,Identify skin purpose.,2024-12-26,✅,C-,Yes
S11004,Geography,Car.,2024-12-17,✔,A,Yes
S01237,Math,Oil hear north.,2025-02-04, Done ,C,No
S01395,Science,Carry be again wear.,2025-03-08,not done,D,Yes
S00079,Math,Here matter since.,2024-10-02,not done,D, 
S00244,English,Son along.,2024-09-10, Done ,B,No
S03773,Science,Civil various.,2025-02-13,not done,C,No
S00515,Geography,Keep determine trade.,2024-10-25,not done,D,No
S11309,Science,Court treatment.,2025-01-07, Done ,D, 
S10264,English,Face heart prepare.,11/21/2024,not done,B,Yes
S07787,Math,Many remain try according.,2024-11-19,✅,B-,No
S06903,Science,Dark leg memory.,2025-02-25,✅,A, 
S08661,Math,Section identify politics human.,2024-12-04,❌,A, 
S03020,Science,Huge pass tend.,01/27/2025,✅,C,Yes
S09222,History,Wind.,2024-12-31,❌,C-, 
S10652,Science,Himself key.,2024-11-27,❌,A+,Yes
S03184,Arabic,Eight visit sometimes.,2024-11-28,not done,C-,Yes
S05384,English,Show sell.,2024-10-13,✔,C,Yes
S03436,Arabic,Big those.,2024-09-28, Done ,C-,No
S01838,Science,Of join along.,2025-01-30,❌,F,No
S11808,History,Affect ask.,2024-11-30,not done,B,Yes
S03745,History,Firm resource.,2025-01-24,✔,A+,Yes
S11126,Arabic,Up mean financial here.,2025-01-05, Done ,A, 
S04130,Geography,Believe avoid identify.,03/03/2025,✅,C-,Yes
S09752,Geography,Weight record.,2024-11-20,✔,D, 
